annotator,pair_id,generator,venue,year,decision,q1_faithfulness,q2_equivalence,notes,updated_at
Sonny,P036,Haiku,NeurIPS,2024,Rejected,5,Yes,,2026-06-05T02:13:11.870Z
Sonny,P037,DeepSeek,ICLR,2024,Accepted,5,Yes,,2026-06-05T02:13:53.323Z
Sonny,P038,DeepSeek,ICLR,2021,Accepted,5,Yes,,2026-06-05T02:14:59.910Z
Sonny,P039,DeepSeek,ICLR,2021,Accepted,5,Yes,,2026-06-05T02:15:22.643Z
Sonny,P040,DeepSeek,ICLR,2022,Rejected,5,Yes,,2026-06-05T02:19:53.603Z
Sonny,P041,DeepSeek,ICLR,2023,Rejected,5,Yes,,2026-06-05T02:20:45.608Z
Sonny,P042,DeepSeek,ICLR,2022,Rejected,5,Yes,,2026-06-05T02:21:30.444Z
Sonny,P043,DeepSeek,NeurIPS,2021,Accepted,5,Yes,,2026-06-05T02:21:40.915Z
Sonny,P044,DeepSeek,NeurIPS,2022,Accepted,5,Yes,,2026-06-05T02:25:07.862Z
Sonny,P045,DeepSeek,NeurIPS,2024,Accepted,4,No,,2026-06-05T02:32:07.585Z
Sonny,P046,DeepSeek,NeurIPS,2024,Rejected,5,Yes,,2026-06-05T02:30:23.004Z
Sonny,P047,DeepSeek,NeurIPS,2024,Rejected,5,Yes,,2026-06-05T02:30:26.206Z
Sonny,P048,DeepSeek,NeurIPS,2024,Rejected,5,Yes,,2026-06-05T02:30:28.710Z
Sonny,P049,Llama,ICLR,2021,Accepted,5,Yes,,2026-06-05T02:30:31.994Z
Sonny,P050,Llama,ICLR,2023,Accepted,5,Yes,,2026-06-05T02:30:35.818Z
Sonny,P051,Llama,ICLR,2021,Accepted,5,Yes,,2026-06-05T02:30:38.632Z
Sonny,P052,Llama,ICLR,2023,Rejected,5,Yes,,2026-06-05T02:30:41.018Z
Sonny,P053,Llama,ICLR,2024,Rejected,5,Yes,,2026-06-05T02:30:44.204Z
Sonny,P054,Llama,ICLR,2021,Rejected,5,Yes,,2026-06-05T02:30:46.560Z
Sonny,P055,Llama,NeurIPS,2023,Accepted,5,Yes,,2026-06-05T02:30:48.684Z
Sonny,P056,Llama,NeurIPS,2021,Accepted,5,Yes,,2026-06-05T02:30:50.789Z
Sonny,P057,Llama,NeurIPS,2022,Accepted,5,Yes,,2026-06-05T02:30:53.331Z
Sonny,P058,Llama,NeurIPS,2023,Rejected,5,Yes,,2026-06-05T02:30:55.762Z
Sonny,P059,Llama,NeurIPS,2022,Rejected,5,Yes,,2026-06-05T02:30:58.523Z
Sonny,P060,Llama,NeurIPS,2022,Rejected,5,Yes,,2026-06-05T02:31:00.660Z
