metric_key,metric,source,n_obs,mean_delta,sd_delta,delta_bound,wilcoxon_p,tost_p,sensitive,robust
ReviewEval__existing_literature_comparison,Literature Comparison,ReviewEval,960,0.05138888888888889,0.45069538224712524,0.09013907644942505,0.0006351382756200783,0.003926212806876659,True,False
ReviewEval__methodological_scrutiny,Methodological Scrutiny,ReviewEval,960,0.06006944444444446,0.2500895351969592,0.050017907039391844,1.7507105283766313e-15,0.8933364228682482,True,False
ReviewEval__results_interpretation,Results Interpretation,ReviewEval,960,0.08159722222222224,0.27683807278207023,0.05536761455641405,2.2101542568288953e-17,0.9982959261507427,True,False
ReviewEval__theoretical_contributions,Theoretical Contributions,ReviewEval,960,0.04375,0.40951810061415134,0.08190362012283027,0.00019867599944625716,0.00199035786235292,True,False
ReviewEval__logical_gaps_identification,Logical Gaps Identification,ReviewEval,960,0.053125000000000006,0.27539916890964944,0.05507983378192989,4.449948050019443e-09,0.41298656343475915,True,False
ReviewEval__overall_depth,Overall Depth,ReviewEval,960,0.05798611111111111,0.20482788294213394,0.04096557658842679,1.7144834281959313e-18,0.9949085672808325,True,False
ReviewEval__total_insights,Total Insights,ReviewEval,960,-0.35625,5.2921097838713065,1.0584219567742614,0.04790244165866498,2.138162679810209e-05,False,True
ReviewEval__actionable_insights,Actionable Insights,ReviewEval,960,-0.31875,5.768786465873264,1.153757293174653,0.08507284377943383,4.090906996001628e-06,False,True
ReviewEval__actionability_score,Actionability Score,ReviewEval,960,0.0012743989484264987,0.07032446563899822,0.014064893127799644,0.8144129374913639,1.1484549591452377e-08,False,True
REMOR__criticism,Criticism,REMOR,960,0.017197916666666663,0.1926143131078468,0.03852286262156936,0.003642775675316019,0.0003142828145888859,False,True
REMOR__example,Example,REMOR,960,0.017947916666666668,0.11703700918117475,0.02340740183623495,2.195934979701822e-05,0.07434731502287661,True,False
REMOR__importance_and_relevance,Importance & Relevance,REMOR,960,0.04790625000000001,0.15151474171765766,0.030302948343531533,2.1479222574206878e-19,0.9998325968572054,True,False
REMOR__materials_and_methods,Materials & Methods,REMOR,960,-0.004802083333333334,0.1976033734979278,0.03952067469958556,0.3275657602100154,3.312713748120097e-08,False,True
REMOR__praise,Praise,REMOR,960,0.031677083333333335,0.19087417552407432,0.03817483510481487,4.5125315924477904e-08,0.14590154107230452,True,False
REMOR__results_and_discussion,Results & Discussion,REMOR,960,-0.0059895833333333355,0.14998734703614822,0.029997469407229645,0.09885635277423473,4.1789657144321677e-07,False,True
REMOR__suggestion_and_solution,Suggestion & Solution,REMOR,960,0.027552083333333335,0.15575825295549178,0.031151650591098357,8.685633868534974e-07,0.23707172486981798,True,False
RottenReviews__comprehensiveness,Comprehensiveness,RottenReviews,960,0.3825595238095238,0.4111737959609527,0.08223475919219055,1.585729918138114e-103,1.0,True,False
RottenReviews__objectivity,Objectivity,RottenReviews,960,0.37211805555555555,0.3844187339021133,0.07688374678042266,1.9366715547382732e-104,1.0,True,False
RottenReviews__fairness,Fairness,RottenReviews,960,0.3095238095238095,0.3803247846898554,0.07606495693797109,2.871108043824252e-86,1.0,True,False
RottenReviews__actionability,Actionability,RottenReviews,960,0.290515873015873,0.5898114905373772,0.11796229810747545,9.900197360945054e-45,1.0,True,False
RottenReviews__constructiveness,Constructiveness,RottenReviews,960,0.31130208333333337,0.5236990948572289,0.10473981897144578,5.764228101217253e-60,1.0,True,False
RottenReviews__relevance_alignment,Relevance Alignment,RottenReviews,960,0.01164930555555556,0.12941541126505715,0.025883082253011433,2.6367468648747315e-05,0.0003411032349923362,True,True
RottenReviews__overall_quality,Overall Quality,RottenReviews,960,3.886676587301587,13.285556661885451,2.6571113323770903,1.38794161432348e-28,0.9978862182969847,True,False
RottenReviews__overall_score_100,Overall Score,RottenReviews,960,5.572527281746032,5.1511867631594495,1.03023735263189,5.057253032941887e-128,1.0,True,False
ScholarPeer__technical_accuracy,Technical Accuracy,ScholarPeer,3822,-0.41915227629513346,0.8808227657523832,0.17616455315047663,5.972815537126277e-161,1.0,True,False
ScholarPeer__constructive_value,Constructive Value,ScholarPeer,3822,-0.706959706959707,0.8907613979308219,0.1781522795861644,0.0,1.0,True,False
ScholarPeer__analytical_depth,Analytical Depth,ScholarPeer,3822,-1.1917844060701204,0.78162990617043,0.15632598123408603,0.0,1.0,True,False
ScholarPeer__novelty_and_significance,Novelty & Significance,ScholarPeer,3700,-0.26513513513513515,1.2025140862871253,0.24050281725742506,3.4361645126539055e-41,0.8935772567190828,True,False
ScholarPeer__overall,Overall,ScholarPeer,3822,-0.5949764521193093,0.7365692749156204,0.14731385498312408,0.0,1.0,True,False
