pair_id,generator,venue,year,decision,q1_faithfulness,q2_equivalence,notes,updated_at
P001,Gemini,ICLR,2024,Accepted,4,Yes,,2026-06-05T00:11:52.071Z
P002,Gemini,ICLR,2023,Accepted,3,Yes,,2026-06-06T16:35:27.853Z
P003,Gemini,ICLR,2023,Accepted,5,Yes,,2026-06-05T00:13:35.447Z
P004,Gemini,ICLR,2024,Rejected,4,Yes,,2026-06-06T16:36:28.289Z
P005,Gemini,ICLR,2023,Rejected,5,Yes,,2026-06-05T00:15:26.352Z
P006,Gemini,ICLR,2021,Rejected,5,Yes,,2026-06-05T00:16:36.906Z
P007,Gemini,NeurIPS,2021,Accepted,5,Yes,,2026-06-05T00:17:39.432Z
P008,Gemini,NeurIPS,2024,Accepted,3,Yes,,2026-06-06T16:37:57.547Z
P009,Gemini,NeurIPS,2023,Accepted,4,Yes,,2026-06-05T00:19:35.864Z
P010,Gemini,NeurIPS,2024,Rejected,5,Yes,,2026-06-05T00:20:16.026Z
P011,Gemini,NeurIPS,2021,Rejected,5,Yes,,2026-06-05T00:20:56.091Z
P012,Gemini,NeurIPS,2022,Rejected,4,Yes,,2026-06-06T16:38:49.404Z
P013,o4-mini,ICLR,2023,Accepted,5,Yes,,2026-06-05T00:22:39.006Z
P014,o4-mini,ICLR,2022,Accepted,5,Yes,,2026-06-05T00:23:19.084Z
P015,o4-mini,ICLR,2021,Accepted,4,Yes,,2026-06-06T16:40:07.770Z
P016,o4-mini,ICLR,2024,Rejected,4,Yes,,2026-06-06T16:40:57.194Z
P017,o4-mini,ICLR,2021,Rejected,4,Yes,,2026-06-06T16:41:37.545Z
P018,o4-mini,ICLR,2023,Rejected,4,Yes,,2026-06-05T00:26:18.792Z
P019,o4-mini,NeurIPS,2022,Accepted,5,Yes,,2026-06-05T00:27:01.200Z
P020,o4-mini,NeurIPS,2023,Accepted,5,Yes,,2026-06-05T00:27:36.771Z
P021,o4-mini,NeurIPS,2022,Accepted,5,Yes,,2026-06-05T00:28:11.312Z
P022,o4-mini,NeurIPS,2024,Rejected,4,Yes,,2026-06-05T00:29:27.959Z
P023,o4-mini,NeurIPS,2021,Rejected,5,Yes,,2026-06-05T00:29:52.173Z
P024,o4-mini,NeurIPS,2024,Rejected,4,Yes,,2026-06-06T16:43:31.582Z
P025,Haiku,ICLR,2021,Accepted,4,Yes,,2026-06-06T16:43:40.323Z
P036,Haiku,NeurIPS,2024,Rejected,4,Yes,,2026-06-05T01:33:59.958Z
P037,DeepSeek,ICLR,2024,Accepted,5,Yes,,2026-06-05T01:34:54.388Z
P038,DeepSeek,ICLR,2021,Accepted,5,Yes,,2026-06-05T01:35:35.760Z
P039,DeepSeek,ICLR,2021,Accepted,4,Yes,,2026-06-05T01:36:22.142Z
P040,DeepSeek,ICLR,2022,Rejected,5,Yes,,2026-06-05T01:36:54.343Z
P041,DeepSeek,ICLR,2023,Rejected,5,Yes,,2026-06-05T01:37:24.615Z
P042,DeepSeek,ICLR,2022,Rejected,5,Yes,,2026-06-05T01:37:59.058Z
P043,DeepSeek,NeurIPS,2021,Accepted,4,Yes,,2026-06-05T01:38:40.695Z
P044,DeepSeek,NeurIPS,2022,Accepted,4,Yes,,2026-06-05T01:39:29.220Z
P045,DeepSeek,NeurIPS,2024,Accepted,2,No,,2026-06-05T01:40:35.949Z
P046,DeepSeek,NeurIPS,2024,Rejected,5,Yes,,2026-06-05T01:41:19.204Z
P047,DeepSeek,NeurIPS,2024,Rejected,4,No,,2026-06-05T01:42:04.484Z
P048,DeepSeek,NeurIPS,2024,Rejected,5,Yes,,2026-06-05T01:42:39.537Z
P049,Llama,ICLR,2021,Accepted,4,Yes,,2026-06-05T01:43:19.001Z
P050,Llama,ICLR,2023,Accepted,5,Yes,,2026-06-05T01:43:49.354Z
P051,Llama,ICLR,2021,Accepted,4,Yes,,2026-06-05T01:44:27.174Z
P052,Llama,ICLR,2023,Rejected,5,Yes,,2026-06-05T01:44:54.244Z
P053,Llama,ICLR,2024,Rejected,3,Yes,,2026-06-05T01:45:35.044Z
P054,Llama,ICLR,2021,Rejected,4,Yes,,2026-06-05T01:46:19.419Z
P055,Llama,NeurIPS,2023,Accepted,4,Yes,,2026-06-05T01:46:56.693Z
P056,Llama,NeurIPS,2021,Accepted,4,Yes,,2026-06-05T01:47:31.276Z
P057,Llama,NeurIPS,2022,Accepted,3,Yes,,2026-06-05T01:48:07.546Z
P058,Llama,NeurIPS,2023,Rejected,3,Yes,,2026-06-05T01:49:30.578Z
P059,Llama,NeurIPS,2022,Rejected,4,Yes,,2026-06-05T01:50:02.442Z
P060,Llama,NeurIPS,2022,Rejected,4,Yes,,2026-06-05T01:50:34.057Z
