metric_key,metric,source,n_obs,mean_delta,sd_delta,delta_bound,wilcoxon_p,tost_p,sensitive,robust
ReviewEval__existing_literature_comparison,Literature Comparison,ReviewEval,960,0.06840277777777778,0.36574661931667246,0.07314932386333449,1.5688408162167956e-07,0.343827984379821,True,False
ReviewEval__methodological_scrutiny,Methodological Scrutiny,ReviewEval,960,0.05243055555555556,0.2150756962809381,0.04301513925618762,2.2387853757222093e-13,0.9124322397732078,True,False
ReviewEval__results_interpretation,Results Interpretation,ReviewEval,960,0.05,0.26286832576595753,0.05257366515319151,2.4026262415969255e-08,0.3808265857469594,True,False
ReviewEval__theoretical_contributions,Theoretical Contributions,ReviewEval,960,0.05208333333333334,0.2849002858286618,0.05698005716573236,4.065789116721614e-08,0.29720851784505675,True,False
ReviewEval__logical_gaps_identification,Logical Gaps Identification,ReviewEval,960,0.046527777777777786,0.2934609308960626,0.05869218617921253,1.6636533570247253e-06,0.09959096966042232,True,False
ReviewEval__overall_depth,Overall Depth,ReviewEval,960,0.05388888888888889,0.1608794814339017,0.032175896286780345,7.887715457043159e-22,0.999984882499285,True,False
ReviewEval__total_insights,Total Insights,ReviewEval,960,0.29375,7.294144844283309,1.458828968856662,0.8044791000105778,4.0559295453297684e-07,False,True
ReviewEval__actionable_insights,Actionable Insights,ReviewEval,960,0.33229166666666665,6.561571615315401,1.3123143230630803,0.40751550607932097,1.972636669590844e-06,False,True
ReviewEval__actionability_score,Actionability Score,ReviewEval,960,0.0023321073955787346,0.19838291788352008,0.03967658357670402,0.5288855371952761,3.1959508845504646e-09,False,True
REMOR__criticism,Criticism,REMOR,960,0.015625,0.16883772774691191,0.03376754554938238,0.0002816820275385149,0.0004434282068676254,True,True
REMOR__example,Example,REMOR,960,0.015729166666666666,0.09439831734934266,0.018879663469868534,5.126106633951331e-07,0.1506166406232826,True,False
REMOR__importance_and_relevance,Importance & Relevance,REMOR,960,0.040135416666666666,0.13494247179557523,0.026988494359115045,2.5885907234871114e-20,0.9987137016722816,True,False
REMOR__materials_and_methods,Materials & Methods,REMOR,960,0.03090625,0.20468473574099205,0.04093694714819841,4.3591875427640466e-08,0.06454136485295177,True,False
REMOR__praise,Praise,REMOR,960,0.029072916666666667,0.1628624133711823,0.03257248267423646,2.7049285498730317e-12,0.25281677914495,True,False
REMOR__results_and_discussion,Results & Discussion,REMOR,960,-0.022135416666666675,0.17101098634689585,0.03420219726937917,3.709911809773888e-06,0.014458317848597982,True,False
REMOR__suggestion_and_solution,Suggestion & Solution,REMOR,960,0.025593750000000002,0.137549162933369,0.0275098325866738,6.536688740225221e-11,0.33303655841512203,True,False
RottenReviews__comprehensiveness,Comprehensiveness,RottenReviews,954,0.39294199860237594,0.3419045871250437,0.06838091742500874,1.2151983199050379e-117,1.0,True,False
RottenReviews__objectivity,Objectivity,RottenReviews,954,0.33789058600379357,0.3063850494396558,0.06127700988793116,1.8427708238152745e-112,1.0,True,False
RottenReviews__fairness,Fairness,RottenReviews,954,0.35207647000099834,0.34047602797970145,0.06809520559594029,1.4637493443715406e-106,1.0,True,False
RottenReviews__actionability,Actionability,RottenReviews,954,0.2278027353499051,0.31074771344983393,0.06214954268996679,4.954381300798977e-74,1.0,True,False
RottenReviews__constructiveness,Constructiveness,RottenReviews,954,0.24543526005790156,0.30664730885984487,0.06132946177196898,5.174329774335674e-85,1.0,True,False
RottenReviews__relevance_alignment,Relevance Alignment,RottenReviews,954,0.008490566037735847,0.0634875405239319,0.012697508104786382,0.00010533827006450433,0.02041268190164044,True,False
RottenReviews__overall_quality,Overall Quality,RottenReviews,794,4.75721482547679,5.159243867912712,1.0318487735825426,6.028067342576376e-110,1.0,True,False
RottenReviews__overall_score_100,Overall Score,RottenReviews,954,4.660916442048517,3.9460962239583233,0.7892192447916647,7.706344007773529e-145,1.0,True,False
ScholarPeer__technical_accuracy,Technical Accuracy,ScholarPeer,3476,-0.41858457997698506,1.7362789481928569,0.3472557896385714,3.4196905763316864e-39,0.9922709330625405,True,False
ScholarPeer__constructive_value,Constructive Value,ScholarPeer,3476,-0.11939010356731876,1.620680477655331,0.3241360955310662,0.00020571227042223865,5.298248728093243e-14,True,True
ScholarPeer__analytical_depth,Analytical Depth,ScholarPeer,3476,-0.30322209436133485,1.6936957939542925,0.33873915879085853,1.333149078979005e-22,0.10818508120434826,True,False
ScholarPeer__novelty_and_significance,Novelty & Significance,ScholarPeer,3417,-0.3227977758267486,1.933538126782968,0.38670762535659364,2.983237424260148e-18,0.02669204918731318,True,False
ScholarPeer__overall,Overall,ScholarPeer,3476,-0.12054085155350978,1.715816678104932,0.34316333562098644,0.00027564288096712866,1.144234264147067e-14,True,True
