metric_key,metric,source,n_obs,mean_delta,sd_delta,delta_bound,wilcoxon_p,tost_p,sensitive,robust
ReviewEval__existing_literature_comparison,Literature Comparison,ReviewEval,960,0.051388888888888894,0.3323209048417629,0.06646418096835259,8.677955436603145e-05,0.08001112991142433,True,False
ReviewEval__methodological_scrutiny,Methodological Scrutiny,ReviewEval,960,0.06006944444444446,0.20922529483493185,0.04184505896698637,9.480623448206674e-17,0.9964902130871018,True,False
ReviewEval__results_interpretation,Results Interpretation,ReviewEval,960,0.08159722222222224,0.22462109300486705,0.04492421860097341,3.464110539348042e-23,0.9999997686963268,True,False
ReviewEval__theoretical_contributions,Theoretical Contributions,ReviewEval,960,0.04375,0.24720954548516677,0.04944190909703336,9.571752778411038e-09,0.23784495495722346,True,False
ReviewEval__logical_gaps_identification,Logical Gaps Identification,ReviewEval,960,0.053125,0.23890406153905935,0.04778081230781187,3.575520922733815e-12,0.7558335853250511,True,False
ReviewEval__overall_depth,Overall Depth,ReviewEval,960,0.05798611111111111,0.14869336214638088,0.029738672429276178,4.564307840964078e-30,0.9999999976710228,True,False
ReviewEval__total_insights,Total Insights,ReviewEval,960,-0.35625,4.5765602307147395,0.9153120461429479,0.0019043956479119126,7.92412893682889e-05,False,True
ReviewEval__actionable_insights,Actionable Insights,ReviewEval,960,-0.31875,4.938037598932105,0.9876075197864211,0.01630901795270551,1.4156061777083101e-05,False,True
ReviewEval__actionability_score,Actionability Score,ReviewEval,960,0.0012743989484264987,0.058409085272774275,0.011681817054554856,0.9089801145116397,1.917456072608013e-08,False,True
REMOR__criticism,Criticism,REMOR,960,0.017197916666666663,0.16558476149276724,0.03311695229855345,0.002089380632656588,0.0014653634449594847,False,True
REMOR__example,Example,REMOR,960,0.017947916666666668,0.11190667847828878,0.022381335695657756,3.054316582078739e-05,0.10989432663754387,True,False
REMOR__importance_and_relevance,Importance & Relevance,REMOR,960,0.04790625000000001,0.13285542787500193,0.02657108557500039,1.8762081973793016e-27,0.9999996458749038,True,False
REMOR__materials_and_methods,Materials & Methods,REMOR,960,-0.004802083333333336,0.16856247513860337,0.033712495027720675,0.3363630346069848,5.983606944750154e-08,False,True
REMOR__praise,Praise,REMOR,960,0.031677083333333335,0.15508953280759785,0.031017906561519572,6.308642871405441e-16,0.5523786132217906,True,False
REMOR__results_and_discussion,Results & Discussion,REMOR,960,-0.005989583333333335,0.12513708810512558,0.025027417621025116,0.1462313606333369,1.3035028386735538e-06,False,True
REMOR__suggestion_and_solution,Suggestion & Solution,REMOR,960,0.027552083333333335,0.13465340901270098,0.0269306818025402,4.4467522774497745e-10,0.5568414899484485,True,False
RottenReviews__comprehensiveness,Comprehensiveness,RottenReviews,960,0.3825595238095238,0.30455247339637803,0.06091049467927561,4.965196773980986e-124,1.0,True,False
RottenReviews__objectivity,Objectivity,RottenReviews,960,0.37211805555555555,0.3046522320368304,0.060930446407366085,9.061759428122941e-120,1.0,True,False
RottenReviews__fairness,Fairness,RottenReviews,960,0.3095238095238095,0.3119334637687939,0.06238669275375878,2.0257752740819032e-102,1.0,True,False
RottenReviews__actionability,Actionability,RottenReviews,960,0.290515873015873,0.3121520545578087,0.06243041091156174,2.8831292013456487e-94,1.0,True,False
RottenReviews__constructiveness,Constructiveness,RottenReviews,960,0.31130208333333337,0.2982469218962258,0.05964938437924516,2.1152391179096714e-105,1.0,True,False
RottenReviews__relevance_alignment,Relevance Alignment,RottenReviews,960,0.01164930555555556,0.05955264949869268,0.011910529899738537,4.951094311590276e-08,0.44595374646763875,True,False
RottenReviews__overall_quality,Overall Quality,RottenReviews,960,3.8866765873015874,12.434708531370205,2.4869417062740413,9.83845540001672e-30,0.9997509618356126,True,False
RottenReviews__overall_score_100,Overall Score,RottenReviews,960,5.572527281746032,3.0854169689830155,0.6170833937966032,1.679788886487239e-152,1.0,True,False
ScholarPeer__technical_accuracy,Technical Accuracy,ScholarPeer,3822,-0.41915227629513346,0.8808227657523832,0.17616455315047663,5.972815537126277e-161,1.0,True,False
ScholarPeer__constructive_value,Constructive Value,ScholarPeer,3822,-0.706959706959707,0.8907613979308219,0.1781522795861644,0.0,1.0,True,False
ScholarPeer__analytical_depth,Analytical Depth,ScholarPeer,3822,-1.1917844060701204,0.78162990617043,0.15632598123408603,0.0,1.0,True,False
ScholarPeer__novelty_and_significance,Novelty & Significance,ScholarPeer,3700,-0.26513513513513515,1.2025140862871253,0.24050281725742506,3.4361645126539055e-41,0.8935969831785674,True,False
ScholarPeer__overall,Overall,ScholarPeer,3822,-0.5949764521193093,0.7365692749156204,0.14731385498312408,0.0,1.0,True,False
