metric_key,metric,source,n_obs,mean_delta,sd_delta,delta_bound,wilcoxon_p,tost_p,sensitive,robust
ReviewEval__existing_literature_comparison,Literature Comparison,ReviewEval,960,0.06840277777777777,0.4900320214371243,0.09800640428742487,5.869148602526097e-06,0.030770250436685576,True,False
ReviewEval__methodological_scrutiny,Methodological Scrutiny,ReviewEval,960,0.05243055555555556,0.2603992723886115,0.0520798544777223,2.0958909164319873e-09,0.5166380968195294,True,False
ReviewEval__results_interpretation,Results Interpretation,ReviewEval,960,0.05,0.3325329284963414,0.06650658569926829,2.6423124446284514e-06,0.062188425879600384,True,False
ReviewEval__theoretical_contributions,Theoretical Contributions,ReviewEval,960,0.052083333333333336,0.4045509990508535,0.08091019981017071,2.317542332040407e-05,0.013747129412755367,True,False
ReviewEval__logical_gaps_identification,Logical Gaps Identification,ReviewEval,960,0.046527777777777786,0.30997322613278605,0.06199464522655721,6.989509314095652e-06,0.06121538936306486,True,False
ReviewEval__overall_depth,Overall Depth,ReviewEval,960,0.05388888888888888,0.21231610684098987,0.042463221368197974,9.43126791031598e-15,0.9521171945882774,True,False
ReviewEval__total_insights,Total Insights,ReviewEval,960,0.29375,9.482829139450333,1.8965658278900666,0.9944300653996379,1.0031166557406489e-07,False,True
ReviewEval__actionable_insights,Actionable Insights,ReviewEval,960,0.33229166666666665,8.770090830696017,1.7540181661392034,0.8473119208341214,3.035416964800391e-07,False,True
ReviewEval__actionability_score,Actionability Score,ReviewEval,960,0.0023321073955787325,0.2359462475998531,0.047189249519970625,0.8355670717151468,2.6614960622555373e-09,False,True
REMOR__criticism,Criticism,REMOR,960,0.015625,0.1977986911246788,0.03955973822493576,0.0013036380440833238,9.400072364244975e-05,True,True
REMOR__example,Example,REMOR,960,0.01572916666666667,0.10897995904641086,0.021795991809282173,6.351013843265029e-05,0.042438667261536424,True,False
REMOR__importance_and_relevance,Importance & Relevance,REMOR,960,0.040135416666666666,0.15699432584684603,0.031398865169369204,1.397675306915742e-13,0.9575044561167301,True,False
REMOR__materials_and_methods,Materials & Methods,REMOR,960,0.030906250000000003,0.2403753398908319,0.04807506797816638,7.211081789142914e-05,0.013565411098525677,True,False
REMOR__praise,Praise,REMOR,960,0.02907291666666667,0.18908339051086365,0.037816678102172735,2.7579381364720974e-06,0.07612282133436316,True,False
REMOR__results_and_discussion,Results & Discussion,REMOR,960,-0.022135416666666668,0.20794070100975143,0.041588140201950285,0.0026928980625960993,0.0019173434322831472,False,False
REMOR__suggestion_and_solution,Suggestion & Solution,REMOR,960,0.025593750000000002,0.1608866904897562,0.032177338097951244,7.689343949012028e-05,0.10257427233544013,True,False
RottenReviews__comprehensiveness,Comprehensiveness,RottenReviews,949,0.39027046013347383,0.45671139182454995,0.09134227836490999,1.2248134180355374e-95,1.0,True,False
RottenReviews__objectivity,Objectivity,RottenReviews,949,0.3357193035275227,0.38971693259955476,0.07794338651991095,6.027926238607896e-94,1.0,True,False
RottenReviews__fairness,Fairness,RottenReviews,949,0.3489261879672838,0.4075465835412395,0.0815093167082479,3.4983243589155836e-93,1.0,True,False
RottenReviews__actionability,Actionability,RottenReviews,949,0.22426112700085296,0.6144486800990115,0.12288973601980231,1.1790336331950353e-29,0.9999997754637826,True,False
RottenReviews__constructiveness,Constructiveness,RottenReviews,949,0.24066937628581464,0.5833567402948948,0.11667134805897897,5.403147327015359e-35,0.9999999999523086,True,False
RottenReviews__relevance_alignment,Relevance Alignment,RottenReviews,949,0.008535300316122232,0.15308316617884918,0.03061663323576984,0.0632306647338694,4.946134550399081e-06,False,True
RottenReviews__overall_quality,Overall Quality,RottenReviews,788,4.505218153251149,6.5595621666335955,1.3119124333267191,8.595758649023289e-80,1.0,True,False
RottenReviews__overall_score_100,Overall Score,RottenReviews,949,4.630942345325907,5.8732769994917895,1.174655399898358,4.823492298801885e-109,1.0,True,False
ScholarPeer__technical_accuracy,Technical Accuracy,ScholarPeer,3476,-0.41858457997698506,1.7362789481928569,0.3472557896385714,3.4196905763316864e-39,0.9922582189160061,True,False
ScholarPeer__constructive_value,Constructive Value,ScholarPeer,3476,-0.11939010356731876,1.620680477655331,0.3241360955310662,0.00020571227042223865,5.931373295656073e-14,True,True
ScholarPeer__analytical_depth,Analytical Depth,ScholarPeer,3476,-0.30322209436133485,1.6936957939542925,0.33873915879085853,1.333149078979005e-22,0.10820596969612128,True,False
ScholarPeer__novelty_and_significance,Novelty & Significance,ScholarPeer,3417,-0.3227977758267486,1.933538126782968,0.38670762535659364,2.983237424260148e-18,0.026712698660244935,True,False
ScholarPeer__overall,Overall,ScholarPeer,3476,-0.12054085155350978,1.715816678104932,0.34316333562098644,0.00027564288096712866,1.2969145640972246e-14,True,True
